Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Label
192.168.10.25-192.168.10.51-48452-80-6,192.168.10.25,48452,192.168.10.51,80,6,09/09/2026 08:54:50,1358,5,3,100,231,100,0,20,40.0,231,0,77,108.89,243735.01,5890.88,194.0,138.7,502.8,87.0,1358.0,339.5,242.6,741.0,88.9,826.8,413.4,89.4,502.8,324.0,1,1,0,0,168,104,3681.8,2209.08,0,231,41.38,78.79,6208.23,1,2,0,2,7,0,0,0,0.6,41.38,20.0,77.0,5,100,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.25-80-48452-6,192.168.10.51,80,192.168.10.25,48452,6,09/09/2026 08:54:50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,509,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-57968-16205-6,192.168.10.25,57968,192.168.10.51,16205,6,09/09/2026 08:54:52,1336,2,3,0,5,0,0,0,0.0,5,0,1.67,2.36,3742.24,3742.24,334.0,437.3,1084.8,1.2,250.1,250.1,0.0,250.1,250.1,1251.0,625.5,624.3,1249.8,1.2,0,1,0,0,72,104,1496.9,2245.34,0,5,1,2.0,4.0,1,2,0,1,4,0,0,0,1.5,1.0,0.0,1.67,2,0,3,5,64240,65160,0,40,BENIGN
192.168.10.25-192.168.10.51-57968-16205-6,192.168.10.25,57968,192.168.10.51,16205,6,09/09/2026 08:54:52,163,2,0,0,0,0,0,0,0.0,0,0,0,0,0.0,12264.05,163.1,0.0,163.1,163.1,163.1,163.1,0.0,163.1,163.1,0,0,0,0,0,0,0,0,0,64,0,12264.05,0.0,0,0,0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,2,0,0,0,502,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-58058-21-6,192.168.10.25,58058,192.168.10.51,21,6,09/09/2026 08:54:52,97478,12,15,78,308,16,0,6.5,5.53,62,0,20.53,19.52,3959.86,276.99,3749.2,11845.7,48460.0,1.0,97421.2,8856.5,25479.4,89330.0,177.9,97191.1,6942.2,15472.8,48460.0,1.2,8,10,0,0,392,488,123.1,153.88,0,62,14.3,16.55,273.91,1,2,0,18,26,0,0,0,1.25,14.3,6.5,20.53,12,78,15,308,64240,65160,8,40,BENIGN
192.168.10.25-192.168.10.51-58058-21-6,192.168.10.25,58058,192.168.10.51,21,6,09/09/2026 08:54:52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,502,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-41020-80-6,192.168.10.25,41020,192.168.10.51,80,6,09/09/2026 08:54:56,1476,5,3,92,231,92,0,18.4,36.8,231,0,77,108.89,218827.36,5419.87,210.9,172.2,505.9,10.0,1476.0,369.0,229.3,711.2,93.0,733.1,366.6,139.4,505.9,227.2,1,1,0,0,168,104,3387.42,2032.45,0,231,40.38,78.09,6097.98,1,2,0,2,7,0,0,0,0.6,40.38,18.4,77.0,5,92,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.25-80-41020-6,192.168.10.51,80,192.168.10.25,41020,6,09/09/2026 08:54:56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,509,-1,0,32,BENIGN
192.168.10.25-91.189.91.57-53446-80-6,192.168.10.25,53446,91.189.91.57,80,6,09/09/2026 08:55:00,212169,5,2,88,79,88,0,17.6,35.2,79,0,39.5,39.5,787.11,32.99,35361.5,49792.3,109858.0,148.1,212169.2,53042.3,52966.5,110122.2,148.1,101969.0,101969.0,0.0,101969.0,101969.0,1,1,0,0,168,72,23.57,9.43,0,88,23.86,37.8,1428.69,1,2,0,2,6,0,0,0,0.4,23.86,17.6,39.5,5,88,2,79,64240,65535,1,40,BENIGN
91.189.91.57-192.168.10.25-80-53446-6,91.189.91.57,80,192.168.10.25,53446,6,09/09/2026 08:55:01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,4,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-58978-80-6,192.168.10.25,58978,192.168.10.51,80,6,09/09/2026 08:55:06,1330,5,3,165,231,165,0,33,66.0,231,0,77,108.89,297713.64,6014.42,190.0,127.8,458.0,70.1,1330.1,332.5,180.8,615.1,129.0,773.9,387.0,71.0,458.0,315.9,1,1,0,0,168,104,3759.01,2255.41,0,231,49.5,87.31,7623.0,1,2,0,2,7,0,0,0,0.6,49.5,33.0,77.0,5,165,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.25-80-58978-6,192.168.10.51,80,192.168.10.25,58978,6,09/09/2026 08:55:06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,508,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-58984-80-6,192.168.10.25,58984,192.168.10.51,80,6,09/09/2026 08:55:08,1420,5,3,91,231,91,0,18.2,36.4,231,0,77,108.89,226757.2,5633.72,202.9,164.0,587.0,78.9,1420.0,355.0,272.2,806.1,78.9,920.1,460.0,127.0,587.0,333.1,1,1,0,0,168,104,3521.07,2112.64,0,231,40.25,78.01,6085.19,1,2,0,2,7,0,0,0,0.6,40.25,18.2,77.0,5,91,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.25-80-58984-6,192.168.10.51,80,192.168.10.25,58984,6,09/09/2026 08:55:08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,509,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-55688-53264-6,192.168.10.25,55688,192.168.10.51,53264,6,09/09/2026 08:55:09,756,2,3,0,5,0,0,0,0.0,5,0,1.67,2.36,6613.54,6613.54,189.0,227.4,580.8,28.1,147.1,147.1,0.0,147.1,147.1,703.1,351.5,323.4,675.0,28.1,0,1,0,0,72,104,2645.41,3968.12,0,5,1,2.0,4.0,1,2,0,1,4,0,0,0,1.5,1.0,0.0,1.67,2,0,3,5,64240,65160,0,40,BENIGN
192.168.10.25-192.168.10.51-55688-53264-6,192.168.10.25,55688,192.168.10.51,53264,6,09/09/2026 08:55:09,168,2,0,0,0,0,0,0,0.0,0,0,0,0,0.0,11898.73,168.1,0.0,168.1,168.1,168.1,168.1,0.0,168.1,168.1,0,0,0,0,0,0,0,0,0,64,0,11898.73,0.0,0,0,0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,2,0,0,0,502,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-57250-21-6,192.168.10.25,57250,192.168.10.51,21,6,09/09/2026 08:55:09,86355,12,15,78,308,16,0,6.5,5.53,62,0,20.53,19.52,4469.92,312.66,3321.3,10600.6,41015.1,1.0,86285.1,7844.1,22907.2,80227.1,74.9,86118.0,6151.3,13870.3,41185.1,1.0,8,10,0,0,392,488,138.96,173.7,0,62,14.3,16.55,273.91,1,2,0,18,26,0,0,0,1.25,14.3,6.5,20.53,12,78,15,308,64240,65160,8,40,BENIGN
192.168.10.25-192.168.10.51-57250-21-6,192.168.10.25,57250,192.168.10.51,21,6,09/09/2026 08:55:09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,502,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-42910-80-6,192.168.10.25,42910,192.168.10.51,80,6,09/09/2026 08:55:12,1239,5,3,164,231,164,0,32.8,65.6,231,0,77,108.89,318789.7,6456.5,177.0,131.1,459.0,43.9,1239.1,309.8,180.4,598.9,102.0,798.9,399.5,59.5,459.0,340.0,1,1,0,0,168,104,4035.31,2421.19,0,231,49.38,87.14,7594.23,1,2,0,2,7,0,0,0,0.6,49.38,32.8,77.0,5,164,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.25-80-42910-6,192.168.10.51,80,192.168.10.25,42910,6,09/09/2026 08:55:12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,508,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-42920-80-6,192.168.10.25,42920,192.168.10.51,80,6,09/09/2026 08:55:15,1283,5,3,165,231,165,0,33,66.0,231,0,77,108.89,308668.35,6235.72,183.3,141.4,486.9,67.9,1282.9,320.7,205.2,649.2,94.9,732.9,366.4,120.4,486.9,246.0,1,1,0,0,168,104,3897.33,2338.4,0,231,49.5,87.31,7623.0,1,2,0,2,7,0,0,0,0.6,49.5,33.0,77.0,5,165,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.25-80-42920-6,192.168.10.51,80,192.168.10.25,42920,6,09/09/2026 08:55:15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,508,-1,0,32,BENIGN
192.168.10.19-192.168.10.51-48174-80-6,192.168.10.19,48174,192.168.10.51,80,6,09/09/2026 08:55:19,1453,5,3,86,231,86,0,17.2,34.4,231,0,77,108.89,218180.89,5506.14,207.6,155.8,510.0,80.1,1452.9,363.2,239.6,649.9,88.9,773.9,387.0,11.0,397.9,376.0,1,1,0,0,168,104,3441.34,2064.8,0,231,39.62,77.62,6024.48,1,2,0,2,7,0,0,0,0.6,39.62,17.2,77.0,5,86,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.19-80-48174-6,192.168.10.51,80,192.168.10.19,48174,6,09/09/2026 08:55:19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,509,-1,0,32,BENIGN
192.168.10.19-192.168.10.51-48180-80-6,192.168.10.19,48180,192.168.10.51,80,6,09/09/2026 08:55:19,1811,5,3,164,231,164,0,32.8,65.6,231,0,77,108.89,218108.23,4417.38,258.7,158.6,510.0,67.0,1811.0,452.8,172.3,649.0,272.0,943.2,471.6,31.5,503.1,440.1,1,1,0,0,168,104,2760.86,1656.52,0,231,49.38,87.14,7594.23,1,2,0,2,7,0,0,0,0.6,49.38,32.8,77.0,5,164,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.19-80-48180-6,192.168.10.51,80,192.168.10.19,48180,6,09/09/2026 08:55:19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,508,-1,0,32,BENIGN
192.168.10.19-192.168.10.51-48172-80-6,192.168.10.19,48172,192.168.10.51,80,6,09/09/2026 08:55:19,4158,5,3,164,231,164,0,32.8,65.6,231,0,77,108.89,94997.14,1923.99,594.0,679.8,2136.9,59.8,4158.0,1039.5,658.7,2136.9,432.0,1446.0,723.0,92.1,815.2,630.9,1,1,0,0,168,104,1202.5,721.5,0,231,49.38,87.14,7594.23,1,2,0,2,7,0,0,0,0.6,49.38,32.8,77.0,5,164,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.19-80-48172-6,192.168.10.51,80,192.168.10.19,48172,6,09/09/2026 08:55:19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,508,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-42934-80-6,192.168.10.25,42934,192.168.10.51,80,6,09/09/2026 08:55:19,1230,5,3,86,231,86,0,17.2,34.4,231,0,77,108.89,257723.27,6504.06,175.7,103.9,352.1,73.9,1230.0,307.5,162.2,537.9,89.2,637.1,318.5,33.6,352.1,284.9,1,1,0,0,168,104,4065.04,2439.02,0,231,39.62,77.62,6024.48,1,2,0,2,7,0,0,0,0.6,39.62,17.2,77.0,5,86,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.25-80-42934-6,192.168.10.51,80,192.168.10.25,42934,6,09/09/2026 08:55:19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,509,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-42946-80-6,192.168.10.25,42946,192.168.10.51,80,6,09/09/2026 08:55:20,1299,5,3,76,231,76,0,15.2,30.4,231,0,77,108.89,236353.03,6159.04,185.6,96.2,376.9,85.8,1298.9,324.7,191.3,618.0,85.8,713.1,356.6,20.4,376.9,336.2,1,1,0,0,168,104,3849.4,2309.64,0,231,38.38,76.94,5919.48,1,2,0,2,7,0,0,0,0.6,38.38,15.2,77.0,5,76,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.25-80-42946-6,192.168.10.51,80,192.168.10.25,42946,6,09/09/2026 08:55:20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,509,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-46244-80-6,192.168.10.25,46244,192.168.10.51,80,6,09/09/2026 08:55:22,1236,5,3,86,231,86,0,17.2,34.4,231,0,77,108.89,256480.4,6472.69,176.6,108.3,399.1,73.9,1236.0,309.0,148.3,562.0,185.0,773.0,386.5,12.6,399.1,373.8,1,1,0,0,168,104,4045.43,2427.26,0,231,39.62,77.62,6024.48,1,2,0,2,7,0,0,0,0.6,39.62,17.2,77.0,5,86,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.25-80-46244-6,192.168.10.51,80,192.168.10.25,46244,6,09/09/2026 08:55:22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,509,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-46246-80-6,192.168.10.25,46246,192.168.10.51,80,6,09/09/2026 08:55:23,1504,5,3,165,231,165,0,33,66.0,231,0,77,108.89,263307.61,5319.35,214.8,114.6,458.0,104.9,1503.9,376.0,220.9,700.0,104.9,883.1,441.6,16.5,458.0,425.1,1,1,0,0,168,104,3324.59,1994.75,0,231,49.5,87.31,7623.0,1,2,0,2,7,0,0,0,0.6,49.5,33.0,77.0,5,165,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.25-80-46246-6,192.168.10.51,80,192.168.10.25,46246,6,09/09/2026 08:55:23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,508,-1,0,32,BENIGN
192.168.10.19-192.168.10.51-48192-80-6,192.168.10.19,48192,192.168.10.51,80,6,09/09/2026 08:55:23,1158,5,3,86,231,86,0,17.2,34.4,231,0,77,108.89,273748.07,6908.47,165.4,101.5,375.0,67.9,1158.0,289.5,179.6,565.1,67.9,671.9,335.9,39.1,375.0,296.8,1,1,0,0,168,104,4317.79,2590.68,0,231,39.62,77.62,6024.48,1,2,0,2,7,0,0,0,0.6,39.62,17.2,77.0,5,86,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.19-80-48192-6,192.168.10.51,80,192.168.10.19,48192,6,09/09/2026 08:55:23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,509,-1,0,32,BENIGN
192.168.10.19-192.168.10.51-48194-80-6,192.168.10.19,48194,192.168.10.51,80,6,09/09/2026 08:55:25,1224,5,3,92,436,92,0,18.4,36.8,436,0,145.33,205.53,431358.11,6535.73,174.9,99.0,383.9,83.9,1224.0,306.0,190.0,605.1,83.9,669.0,334.5,49.4,383.9,285.1,1,1,0,0,168,104,4084.83,2450.9,0,436,66,143.05,20464.0,1,2,0,2,7,0,0,0,0.6,66.0,18.4,145.33,5,92,3,436,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.19-80-48194-6,192.168.10.51,80,192.168.10.19,48194,6,09/09/2026 08:55:25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,509,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-46258-80-6,192.168.10.25,46258,192.168.10.51,80,6,09/09/2026 08:55:25,1240,5,3,76,231,76,0,15.2,30.4,231,0,77,108.89,247577.64,6451.53,177.1,107.8,397.0,79.9,1240.0,310.0,174.2,587.0,113.0,696.9,348.4,48.5,397.0,299.9,1,1,0,0,168,104,4032.21,2419.33,0,231,38.38,76.94,5919.48,1,2,0,2,7,0,0,0,0.6,38.38,15.2,77.0,5,76,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.25-80-46258-6,192.168.10.51,80,192.168.10.25,46258,6,09/09/2026 08:55:25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,509,-1,0,32,BENIGN
192.168.10.25-192.168.10.51-46266-80-6,192.168.10.25,46266,192.168.10.51,80,6,09/09/2026 08:55:25,1280,5,3,76,231,76,0,15.2,30.4,231,0,77,108.89,239875.43,6250.83,182.8,98.1,394.8,83.2,1279.8,320.0,177.0,591.0,112.1,787.0,393.5,1.3,394.8,392.2,1,1,0,0,168,104,3906.77,2344.06,0,231,38.38,76.94,5919.48,1,2,0,2,7,0,0,0,0.6,38.38,15.2,77.0,5,76,3,231,64240,65160,1,40,BENIGN
192.168.10.51-192.168.10.25-80-46266-6,192.168.10.51,80,192.168.10.25,46266,6,09/09/2026 08:55:25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,1,0,0,0,509,-1,0,32,BENIGN
192.168.10.19-192.168.10.51-43680-80-6,192.168.10.19,43680,192.168.10.51,80,6,09/09/2026 08:55:27,1481,5,3,76,231,76,0,15.2,30.4,231,0,77,108.89,207284.5,5401.55,211.6,114.8,466.1,127.1,1481.1,370.3,230.3,747.9,127.1,913.1,456.6,9.5,466.1,447.0,1,1,0,0,168,104,3375.97,2025.58,0,231,38.38,76.94,5919.48,1,2,0,2,7,0,0,0,0.6,38.38,15.2,77.0,5,76,3,231,64240,65160,1,40,BENIGN
